c_id,date,price
303,2025-03-31,1950
304,2025-03-31,2800
305,2025-03-31,950
306,2025-03-31,1450
292,2025-03-31,1800
295,2025-03-31,13000
294,2025-03-31,3600
293,2025-03-31,2400
298,2025-03-31,600
299,2025-03-31,1050
296,2025-03-31,2000
297,2025-03-31,3100
317,2025-03-31,1900
318,2025-03-31,2600
319,2025-03-31,3000
320,2025-03-31,3500
321,2025-03-31,3400
323,2025-03-31,2700
322,2025-03-31,3800
326,2025-03-31,1400
324,2025-03-31,3500
327,2025-03-31,2200
325,2025-03-31,6000
328,2025-03-31,900
329,2025-03-31,1500
330,2025-03-31,70000
331,2025-03-31,100000
332,2025-03-31,95000
333,2025-03-31,170000
334,2025-03-31,160000
335,2025-03-31,15000
336,2025-03-31,20500
337,2025-03-31,1150
338,2025-03-31,2800
339,2025-03-31,3000
340,2025-03-31,650
342,2025-03-31,600
343,2025-03-31,900
344,2025-03-31,1200
345,2025-03-31,150
346,2025-03-31,300
348,2025-03-31,400
349,2025-03-31,500
350,2025-03-31,750
351,2025-03-31,850
352,2025-03-31,1700
353,2025-03-31,1400
354,2025-03-31,2200
358,2025-03-31,7000
359,2025-03-31,850
360,2025-03-31,1400
361,2025-03-31,2200
287,2025-04-07,2600
288,2025-04-07,3100
289,2025-04-07,250
290,2025-04-07,500
291,2025-04-07,2000
311,2025-04-07,2600
312,2025-04-07,1500
308,2025-04-07,9300
309,2025-04-07,12700
310,2025-04-07,6600
300,2025-04-07,1000
301,2025-04-07,1300
302,2025-04-07,2000
303,2025-04-07,1950
304,2025-04-07,2800
305,2025-04-07,950
306,2025-04-07,1450
292,2025-04-07,1800
295,2025-04-07,13000
294,2025-04-07,3600
293,2025-04-07,2400
298,2025-04-07,600
299,2025-04-07,1050
296,2025-04-07,2000
297,2025-04-07,3100
317,2025-04-07,1900
318,2025-04-07,2600
319,2025-04-07,3000
320,2025-04-07,3500
321,2025-04-07,3400
323,2025-04-07,2700
322,2025-04-07,3800
326,2025-04-07,1400
324,2025-04-07,3500
327,2025-04-07,2200
325,2025-04-07,6000
328,2025-04-07,900
329,2025-04-07,1500
330,2025-04-07,70000
331,2025-04-07,100000
332,2025-04-07,95000
333,2025-04-07,170000
334,2025-04-07,160000
335,2025-04-07,15000
336,2025-04-07,20500
337,2025-04-07,1150
338,2025-04-07,2800
339,2025-04-07,3000
340,2025-04-07,650
342,2025-04-07,600
343,2025-04-07,900
344,2025-04-07,1200
345,2025-04-07,150
346,2025-04-07,300
348,2025-04-07,400
349,2025-04-07,500
350,2025-04-07,750
351,2025-04-07,850
352,2025-04-07,1700
353,2025-04-07,1400
354,2025-04-07,2200
358,2025-04-07,7000
359,2025-04-07,850
360,2025-04-07,1400
361,2025-04-07,2200
287,2025-04-14,2600
288,2025-04-14,3100
289,2025-04-14,250
290,2025-04-14,500
291,2025-04-14,2000
311,2025-04-14,2600
312,2025-04-14,1500
308,2025-04-14,9300
309,2025-04-14,12700
310,2025-04-14,6600
300,2025-04-14,1000
301,2025-04-14,1300
302,2025-04-14,2000
303,2025-04-14,1950
304,2025-04-14,2800
305,2025-04-14,950
306,2025-04-14,1450
292,2025-04-14,1800
295,2025-04-14,13000
294,2025-04-14,3600
293,2025-04-14,2400
298,2025-04-14,600
299,2025-04-14,1050
296,2025-04-14,2000
297,2025-04-14,3100
317,2025-04-14,1900
318,2025-04-14,2600
319,2025-04-14,3000
320,2025-04-14,3500
321,2025-04-14,3400
323,2025-04-14,2700
322,2025-04-14,3800
326,2025-04-14,1400
324,2025-04-14,3500
327,2025-04-14,2200
325,2025-04-14,6000
328,2025-04-14,900
329,2025-04-14,1500
330,2025-04-14,70000
331,2025-04-14,100000
332,2025-04-14,95000
333,2025-04-14,170000
334,2025-04-14,160000
335,2025-04-14,15000
336,2025-04-14,20500
337,2025-04-14,1150
338,2025-04-14,2800
339,2025-04-14,3000
340,2025-04-14,650
342,2025-04-14,600
343,2025-04-14,900
344,2025-04-14,1200
345,2025-04-14,150
346,2025-04-14,300
348,2025-04-14,400
349,2025-04-14,500
350,2025-04-14,750
351,2025-04-14,850
352,2025-04-14,1700
353,2025-04-14,1400
354,2025-04-14,2200
358,2025-04-14,7000
359,2025-04-14,850
360,2025-04-14,1400
361,2025-04-14,2200
287,2025-04-21,2600
288,2025-04-21,3100
289,2025-04-21,250
290,2025-04-21,500
291,2025-04-21,2000
311,2025-04-21,2600
312,2025-04-21,1500
308,2025-04-21,9300
309,2025-04-21,12700
310,2025-04-21,6600
300,2025-04-21,1000
301,2025-04-21,1300
302,2025-04-21,2000
303,2025-04-21,1950
304,2025-04-21,2800
305,2025-04-21,950
306,2025-04-21,1450
292,2025-04-21,1800
295,2025-04-21,13000
294,2025-04-21,3600
293,2025-04-21,2400
298,2025-04-21,600
299,2025-04-21,1050
296,2025-04-21,2000
297,2025-04-21,3100
317,2025-04-21,1900
318,2025-04-21,2600
319,2025-04-21,3000
320,2025-04-21,3500
321,2025-04-21,3400
323,2025-04-21,2700
322,2025-04-21,3800
326,2025-04-21,1400
324,2025-04-21,3500
327,2025-04-21,2200
325,2025-04-21,6000
328,2025-04-21,900
329,2025-04-21,1500
330,2025-04-21,70000
331,2025-04-21,100000
332,2025-04-21,95000
333,2025-04-21,170000
334,2025-04-21,160000
335,2025-04-21,15000
336,2025-04-21,20500
337,2025-04-21,1150
338,2025-04-21,2800
339,2025-04-21,3000
340,2025-04-21,650
342,2025-04-21,600
343,2025-04-21,900
344,2025-04-21,1200
345,2025-04-21,150
346,2025-04-21,300
348,2025-04-21,400
349,2025-04-21,500
350,2025-04-21,750
351,2025-04-21,850
352,2025-04-21,1700
353,2025-04-21,1400
354,2025-04-21,2200
358,2025-04-21,7000
359,2025-04-21,850
360,2025-04-21,1400
361,2025-04-21,2200
287,2025-04-28,2600
288,2025-04-28,3100
289,2025-04-28,250
290,2025-04-28,500
291,2025-04-28,2000
311,2025-04-28,2600
312,2025-04-28,1500
308,2025-04-28,9300
309,2025-04-28,12700
310,2025-04-28,6600
300,2025-04-28,1000
301,2025-04-28,1300
302,2025-04-28,2000
303,2025-04-28,1950
304,2025-04-28,2800
305,2025-04-28,950
306,2025-04-28,1450
292,2025-04-28,1800
295,2025-04-28,13000
294,2025-04-28,3600
293,2025-04-28,2400
298,2025-04-28,600
299,2025-04-28,1050
296,2025-04-28,2000
297,2025-04-28,3100
317,2025-04-28,1900
318,2025-04-28,2600
319,2025-04-28,3000
320,2025-04-28,3500
321,2025-04-28,3400
323,2025-04-28,2700
322,2025-04-28,3800
326,2025-04-28,1400
324,2025-04-28,3500
327,2025-04-28,2200
325,2025-04-28,6000
328,2025-04-28,900
329,2025-04-28,1500
330,2025-04-28,70000
331,2025-04-28,100000
332,2025-04-28,95000
333,2025-04-28,170000
334,2025-04-28,160000
335,2025-04-28,15000
336,2025-04-28,20500
337,2025-04-28,1150
338,2025-04-28,2800
339,2025-04-28,3000
340,2025-04-28,650
342,2025-04-28,600
343,2025-04-28,900
344,2025-04-28,1200
345,2025-04-28,150
346,2025-04-28,300
348,2025-04-28,400
349,2025-04-28,500
350,2025-04-28,750
351,2025-04-28,850
352,2025-04-28,1700
353,2025-04-28,1400
354,2025-04-28,2200
358,2025-04-28,7000
359,2025-04-28,850
360,2025-04-28,1400
361,2025-04-28,2200
287,2025-05-05,2600
288,2025-05-05,3100
289,2025-05-05,250
290,2025-05-05,500
291,2025-05-05,2000
311,2025-05-05,2600
312,2025-05-05,1500
308,2025-05-05,9300
309,2025-05-05,12700
310,2025-05-05,6600
300,2025-05-05,1000
301,2025-05-05,1300
302,2025-05-05,2000
303,2025-05-05,1950
304,2025-05-05,2800
305,2025-05-05,950
306,2025-05-05,1450
292,2025-05-05,1800
295,2025-05-05,13000
294,2025-05-05,3600
293,2025-05-05,2400
